date,channel,campaign,impressions,clicks,conversions,revenue,cost
2024-01-01,Instagram,Summer Sale,45000,1800,90,4500.00,900.00
2024-01-01,Facebook,Summer Sale,62000,2480,124,6200.00,1240.00
2024-01-01,Google,Summer Sale,38000,1900,114,5700.00,760.00
2024-01-02,Instagram,Summer Sale,47000,1880,94,4700.00,940.00
2024-01-02,Facebook,Summer Sale,65000,2600,130,6500.00,1300.00
2024-01-02,Google,Summer Sale,40000,2000,120,6000.00,800.00
2024-01-03,Instagram,Brand Awareness,52000,2080,104,5200.00,1040.00
2024-01-03,Facebook,Brand Awareness,70000,2800,140,7000.00,1400.00
2024-01-03,Google,Brand Awareness,43000,2150,129,6450.00,860.00
2024-01-04,Instagram,Brand Awareness,48000,1920,96,4800.00,960.00
2024-01-04,Facebook,Brand Awareness,67000,2680,134,6700.00,1340.00
2024-01-04,Google,Brand Awareness,41000,2050,123,6150.00,820.00
2024-01-05,TikTok,Summer Sale,95000,3800,190,9500.00,1900.00
2024-01-05,YouTube,Summer Sale,34000,1360,68,3400.00,680.00
2024-01-06,TikTok,Summer Sale,102000,4080,204,10200.00,2040.00
2024-01-06,YouTube,Summer Sale,37000,1480,74,3700.00,740.00
2024-01-07,Instagram,Retargeting,29000,1740,174,8700.00,580.00
2024-01-07,Facebook,Retargeting,41000,2460,246,12300.00,820.00
2024-01-07,Google,Retargeting,22000,1760,176,8800.00,440.00
2024-01-08,Instagram,Retargeting,31000,1860,186,9300.00,620.00
2024-01-08,Facebook,Retargeting,44000,2640,264,13200.00,880.00
2024-01-08,Google,Retargeting,25000,2000,200,10000.00,500.00
2024-01-09,TikTok,Retargeting,58000,3480,348,17400.00,1160.00
2024-01-09,YouTube,Retargeting,21000,1260,126,6300.00,420.00
2024-01-10,Instagram,Summer Sale,43000,1720,86,4300.00,860.00
2024-01-10,Facebook,Summer Sale,59000,2360,118,5900.00,1180.00
2024-01-10,Google,Summer Sale,36000,1800,108,5400.00,720.00
2024-01-11,TikTok,Brand Awareness,88000,3520,176,8800.00,1760.00
2024-01-11,YouTube,Brand Awareness,32000,1280,64,3200.00,640.00
2024-01-12,Instagram,Brand Awareness,50000,2000,100,5000.00,1000.00
